Institute ID,Name,City,State,Score,Rank
IR-O-U-0220,"Indian Institute of Science, BengaluruMore Details | |",Bengaluru,Karnataka,83.29,1
IR-O-U-0109,Jawaharlal Nehru UniversityMore Details | |,New Delhi,Delhi,69.8,2
IR-O-U-0108,Jamia Millia IslamiaMore Details | |,New Delhi,Delhi,68.11,3
IR-O-U-0234,"Manipal Academy of Higher Education, ManipalMore Details | |",Manipal,Karnataka,67.18,4
IR-O-U-0500,Banaras Hindu UniversityMore Details | |,Varanasi,Uttar Pradesh,66.05,5
IR-O-U-0120,University of DelhiMore Details | |,Delhi,Delhi,65.9,6
IR-O-U-0436,Amrita Vishwa VidyapeethamMore Details | |,Coimbatore,Tamil Nadu,65.73,7
IR-O-U-0496,Aligarh Muslim UniversityMore Details | |,Aligarh,Uttar Pradesh,65.57,8
IR-O-U-0575,Jadavpur UniversityMore Details | |,Kolkata,West Bengal,65.39,9
IR-O-U-0490,Vellore Institute of TechnologyMore Details | |,Vellore,Tamil Nadu,64.79,10
IR-O-I-1441,Saveetha Institute of Medical and Technical SciencesMore Details | |,Chennai,Tamil Nadu,64.62,11
IR-O-U-0473,S.R.M. Institute of Science and TechnologyMore Details | |,Chennai,Tamil Nadu,64.56,12
IR-O-U-0439,Anna UniversityMore Details | |,Chennai,Tamil Nadu,63.85,13
IR-O-U-0363,Siksha `O` AnusandhanMore Details | |,Bhubaneswar,Odisha,62.61,14
IR-O-U-0356,Kalinga Institute of Industrial TechnologyMore Details | |,Bhubaneswar,Odisha,62.53,15
IR-O-U-0304,Homi Bhabha National InstituteMore Details | |,Mumbai,Maharashtra,62.31,16
IR-O-U-0042,University of HyderabadMore Details | |,Hyderabad,Telangana,62.18,17
IR-O-U-0570,Calcutta UniversityMore Details | |,Kolkata,West Bengal,61.1,18
IR-O-U-0391,"Birla Institute of Technology and Science, PilaniMore Details | |",Pilani,Rajasthan,60.03,19
IR-O-U-0747,Chandigarh UniversityMore Details | |,Mohali,Punjab,59.96,20
IR-O-U-0260,Kerala UniversityMore Details | |,Thiruvananthapuram,Kerala,58.48,21
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering)More Details | |,Vaddeswaram,Andhra Pradesh,57.98,22
IR-O-U-0323,Savitribai Phule Pune UniversityMore Details | |,Pune,Maharashtra,57.96,23
IR-O-U-0222,JSS Academy of Higher Education and ResearchMore Details | |,Mysuru,Karnataka,57.74,24
IR-O-U-0006,Andhra UniversityMore Details | |,Visakhapatnam,Andhra Pradesh,57.67,25
IR-O-U-0447,Bharathiar UniversityMore Details | |,Coimbatore,Tamil Nadu,57.26,26
IR-O-U-0379,Lovely Professional UniversityMore Details | |,Phagwara,Punjab,56.92,27
IR-O-U-0476,Shanmugha Arts Science Technology and Research AcademyMore Details | |,Thanjavur,Tamil Nadu,56.81,28
IR-O-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university)More Details | |,Patiala,Punjab,56.72,29
IR-O-U-0458,Kalasalingam Academy of Research and EducationMore Details | |,Srivilliputhur,Tamil Nadu,56.71,30
IR-O-U-0329,Symbiosis InternationalMore Details | |,Pune,Maharashtra,56.41,31
IR-O-U-0497,Amity UniversityMore Details | |,Gautam Budh Nagar,Uttar Pradesh,56.14,32
IR-O-U-0498,Babasaheb Bhimrao Ambedkar UniversityMore Details | |,Lucknow,Uttar Pradesh,56.03,33
